Rank,followers,username,fid
244,53813,gt,302
245,53798,ir,12912
246,53580,joanwestenberg.eth,3305
247,53495,timdaub.eth,5708
248,53300,typeof.eth,6162
249,52659,matallo.eth,626
250,52195,jmj,204
251,52168,,758919
252,52144,usersteen.eth,9055
253,51791,mantej,3306
254,51788,pjc,12567
255,51295,worm,88
256,51178,scottrepreneur.eth,828
257,50974,kbc,12021
258,50966,limes.eth,5283
259,50918,m-j-r,7097
260,50703,uncledavo,5181
261,50390,artlu,6546
262,50106,basche42,2586
263,50047,,1401
264,49524,stoic,1471
265,49493,rafa,2458
266,49414,thatalexpalmer.eth,1996
267,49364,davidtphung,1657
268,49157,manansh,1315
269,49006,ayushm.eth,716
270,48964,arjantupan,13089
271,48964,ivy,1137
272,48718,thumbsup.eth,12480
273,48575,markus,276
274,48537,bgrill.eth,311
275,48454,kylepatrick.eth,247143
276,48450,ghostlinkz.eth,3115
277,48399,jk,443
278,47984,madhurshrimal.eth,702
279,47635,manuelmaccou.eth,8587
280,47326,zachharris.eth,10351
281,46764,simondlr,2653
282,46633,mxvoid,5991
283,46493,chandresh.eth,4434
284,46449,emr.eth,6227
285,46348,jtgi,5179
286,46052,sirsu.eth,5543
287,46025,mc,4904
288,45811,n64jerry,5604
289,45654,zora,20910
290,45461,jackmcdermott,3966
291,45034,morereese,6351
292,44924,turboflow.eth,24235
293,44856,drews.eth,794
294,44709,compez.eth,321969
295,44699,lamaboo.eth,262563
296,44604,jithinraj,7438
297,44566,slowcrypto,3872
298,44458,mg,125
299,44418,andyjagoe,1095
300,44310,thethriller,8555
301,44285,aneri.base.eth,7732
302,43902,baseapp.base.eth,309857
303,43884,elie,3863
304,43685,weboftrust,6187
305,43566,eq,647
306,43426,jing,10765
307,43357,likesdotfun.eth,1147178
308,43005,edit,230147
309,42833,writer,335872
310,41894,777,2923
311,41835,paulm,12573
312,41002,neged,398355
313,40975,pplpleasr,233147
314,40914,tocd,281289
315,40841,trebor69,307834
316,39936,warface228.eth,12613
317,39711,pdr,474
318,39703,iambullish,322839
319,39586,priyanka,6373
320,39304,warren,2029
321,39302,deodad,6841
322,39138,sds,17
323,38958,gmonchain.eth,537378
324,38760,airstack.eth,20909
325,38525,pinged,7074
326,37830,matthuang,34
327,37731,maretus,403619
328,37141,lajos,7288
329,36990,inkonchain,856652
330,36872,goki,5006
331,36502,jacopo.eth,2007
332,35974,clanker,874542
333,35692,karthiksenthil,681
334,35677,martin,1841
335,35385,arbitrum,536359
336,35063,trustlessstate,8048
337,35010,pratik,2526
338,34627,10kdotworld.eth,343261
339,34562,itsbasil,20384
340,34042,optimism,300898
341,33880,meluhian.eth,6878
342,33760,255.eth,14351
343,33473,alfafrens,340305
344,33334,apex777.eth,221578
345,33142,ommalik,7556
346,33006,animated,262938
347,32908,jam,10636
348,32562,flexasaurusrex,7418
349,32491,opiumhum,5851
350,32357,qt,18570
351,32289,raz,656
352,32213,talent,20442
353,32139,web3d3v,9148
354,31519,cybershakti,7620
355,30965,downshift.eth,243719
356,30960,max,23
357,30856,farquest,12741
358,30830,mleejr,18085
359,30640,levy,1134
360,30426,awkweb,4433
361,30404,ludo,165
362,30381,gaby,83
363,29772,matthewfox,4282
364,29732,galazio,13495
365,29623,pmarca,51
366,29416,bleu.eth,253127
367,29230,samuellhuber.eth,16085
368,28769,kawaiinyan.eth,384019
369,28734,undefined,8152
370,28189,degengate,537227
371,28172,degenfans,385955
372,28085,rarible,24005
373,27901,socialtoken,879968
374,27785,pilll,412772
375,27614,joncharbonneau,4466
376,27182,cashlessman.eth,268438
377,27117,lottopgf,233254
378,27073,cooprecs,262450
379,26987,miguelgarest.eth,323251
380,26984,lyra.eth,249199
381,26759,icetoad.eth,190218
382,26576,superanon,862100
383,26521,zama,260677
384,26511,darrylyeo,3854
